fecha,ccpudis
Ene 2009,4.85
Feb 2009,4.85
Mar 2009,4.85
Abr 2009,4.86
May 2009,4.86
Jun 2009,4.85
Jul 2009,4.80
Ago 2009,4.73
Sep 2009,4.59
Oct 2009,4.37
Nov 2009,4.22
Dic 2009,4.25
Ene 2010,4.28
Feb 2010,4.34
Mar 2010,4.43
Abr 2010,4.63
May 2010,4.78
Jun 2010,4.53
Jul 2010,4.16
Ago 2010,4.00
Sep 2010,3.88
Oct 2010,3.81
Nov 2010,3.77
Dic 2010,3.79
Ene 2011,3.78
Feb 2011,3.83
Mar 2011,3.86
Abr 2011,4.15
May 2011,4.44
Jun 2011,4.44
Jul 2011,3.82
Ago 2011,3.68
Sep 2011,3.67
Oct 2011,3.67
Nov 2011,3.67
Dic 2011,3.67
Ene 2012,3.67
Feb 2012,4.25
Mar 2012,4.45
Abr 2012,4.45
May 2012,4.45
Jun 2012,4.45
Jul 2012,4.45
Ago 2012,4.45
Sep 2012,4.45
Oct 2012,4.46
Nov 2012,4.45
Dic 2012,4.45
Ene 2013,4.31
Feb 2013,4.31
Mar 2013,4.31
Abr 2013,4.32
May 2013,4.32
Jun 2013,4.32
Jul 2013,4.32
Ago 2013,4.31
Sep 2013,4.31
Oct 2013,4.25
Nov 2013,4.25
Dic 2013,4.25
Ene 2014,4.25
Feb 2014,4.25
Mar 2014,4.26
Abr 2014,4.29
May 2014,4.31
Jun 2014,4.17
Jul 2014,4.31
Ago 2014,4.31
Sep 2014,4.32
Oct 2014,4.32
Nov 2014,4.32
Dic 2014,4.32
Ene 2015,4.32
Feb 2015,4.32
Mar 2015,4.32
Abr 2015,4.32
May 2015,4.32
Jun 2015,4.32
Jul 2015,4.33
Ago 2015,4.33
Sep 2015,4.33
Oct 2015,4.34
Nov 2015,4.34
Dic 2015,4.35
Ene 2016,4.35
Feb 2016,4.35
Mar 2016,4.36
Abr 2016,4.36
May 2016,4.36
Jun 2016,4.36
Jul 2016,4.36
Ago 2016,4.36
Sep 2016,4.36
Oct 2016,4.39
Nov 2016,4.41
Dic 2016,4.41
Ene 2017,4.41
Feb 2017,4.28
Mar 2017,4.28
Abr 2017,4.48
May 2017,4.48
Jun 2017,4.48
Jul 2017,4.48
Ago 2017,4.48
Sep 2017,4.48
Oct 2017,4.48
Nov 2017,4.48
Dic 2017,4.53
Ene 2018,4.57
Feb 2018,4.57
Mar 2018,4.57
Abr 2018,4.57
May 2018,4.57
Jun 2018,4.57
Jul 2018,4.57
Ago 2018,4.57
Sep 2018,4.57
Oct 2018,4.41
Nov 2018,4.41
Dic 2018,4.41
Ene 2019,4.41
Feb 2019,4.42
Mar 2019,4.42
Abr 2019,4.42
May 2019,4.11
Jun 2019,4.11
Jul 2019,4.11
Ago 2019,4.11
Sep 2019,4.11
Oct 2019,4.11
Nov 2019,4.11
Dic 2019,4.33
Ene 2020,4.41
Feb 2020,4.39
Mar 2020,4.39
Abr 2020,4.39
May 2020,4.39
Jun 2020,4.39
Jul 2020,4.39
Ago 2020,4.43
Sep 2020,4.64
Oct 2020,4.58
Nov 2020,4.58
Dic 2020,4.58
Ene 2021,4.58
Feb 2021,4.58
Mar 2021,4.58
Abr 2021,4.58
May 2021,4.58
Jun 2021,4.58
Jul 2021,4.58
Ago 2021,4.58
Sep 2021,4.58
Oct 2021,4.58
Nov 2021,4.58
Dic 2021,4.53
Ene 2022,4.44
Feb 2022,4.44
Mar 2022,4.44
Abr 2022,4.44
May 2022,4.44
Jun 2022,4.44
Jul 2022,4.44
Ago 2022,4.44
Sep 2022,4.44
Oct 2022,4.44
Nov 2022,4.44
Dic 2022,4.44
Ene 2023,4.44
Feb 2023,4.44
Mar 2023,4.44
Abr 2023,4.44
May 2023,4.44
Jun 2023,4.46
Jul 2023,4.46
Ago 2023,4.46
Sep 2023,4.46
Oct 2023,4.42
Nov 2023,4.42
Dic 2023,4.42
Ene 2024,4.42
Feb 2024,4.46
Mar 2024,4.50
Abr 2024,4.50
May 2024,4.50
Jun 2024,4.50
Jul 2024,4.50
Ago 2024,4.50
Sep 2024,4.50
Oct 2024,4.50
Nov 2024,4.50
Dic 2024,4.50
Ene 2025,4.50
Feb 2025,4.50
